"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 21 10:54:49 GMT 2023","Sat Jan 21 10:54:52 GMT 2023","3605","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing3","testing3",""
"passed","Sat Jan 21 10:54:49 GMT 2023","Sat Jan 21 10:54:52 GMT 2023","3556","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing3","testing3",""
"passed","Sat Jan 21 10:55:03 GMT 2023","Sat Jan 21 10:55:06 GMT 2023","3595","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing3","testing3",""
"passed","Sat Jan 21 10:54:45 GMT 2023","Sat Jan 21 10:54:49 GMT 2023","3754","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing2","testing2",""
"passed","Sat Jan 21 10:54:40 GMT 2023","Sat Jan 21 10:54:45 GMT 2023","4563","Gradle suite","Gradle test","tests.ExClass2","tests.ExClass2","testing1","testing1",""
"passed","Sat Jan 21 10:55:03 GMT 2023","Sat Jan 21 10:55:06 GMT 2023","3628","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing3","testing3",""
"passed","Sat Jan 21 10:54:59 GMT 2023","Sat Jan 21 10:55:03 GMT 2023","3861","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing2","testing2",""
"passed","Sat Jan 21 10:54:59 GMT 2023","Sat Jan 21 10:55:03 GMT 2023","3828","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing2","testing2",""
"passed","Sat Jan 21 10:54:54 GMT 2023","Sat Jan 21 10:54:59 GMT 2023","4341","Gradle suite","Gradle test","tests.ExClass3","tests.ExClass3","testing1","testing1",""
"passed","Sat Jan 21 10:54:54 GMT 2023","Sat Jan 21 10:54:59 GMT 2023","4388","Gradle suite","Gradle test","tests.ExClass4","tests.ExClass4","testing1","testing1",""
"passed","Sat Jan 21 10:54:40 GMT 2023","Sat Jan 21 10:54:45 GMT 2023","4550","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing1","testing1",""
"passed","Sat Jan 21 10:54:45 GMT 2023","Sat Jan 21 10:54:49 GMT 2023","3774","Gradle suite","Gradle test","tests.ExClass1","tests.ExClass1","testing2","testing2",""
